field_id,candidate,bucket,rows,predicted_mean,actual_rate,absolute_calibration_error
QB_T6_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.3-0.4,34,0.3601918828,0.4117647059,0.0515728230
QB_T6_NEXT_YEAR,C2_BETA_CALIBRATION,0.0-0.1,218,0.0469516205,0.0366972477,0.0102543728
QB_T6_NEXT_YEAR,C2_BETA_CALIBRATION,0.1-0.2,39,0.1677338968,0.1794871795,0.0117532827
QB_T6_NEXT_YEAR,C2_BETA_CALIBRATION,0.2-0.3,6,0.2032033123,0.1666666667,0.0365366456
QB_T6_NEXT_YEAR,C2_BETA_CALIBRATION,0.3-0.4,34,0.3601918828,0.4117647059,0.0515728230
QB_T6_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.0-0.1,218,0.0469516205,0.0366972477,0.0102543728
QB_T6_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.1-0.2,39,0.1677338968,0.1794871795,0.0117532827
QB_T6_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.2-0.3,6,0.2032033123,0.1666666667,0.0365366456
QB_T6_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.3-0.4,34,0.3601918828,0.4117647059,0.0515728230
QB_T6_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.0-0.1,337,0.0398436653,0.0474777448,0.0076340795
QB_T6_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,42,0.1214862305,0.0952380952,0.0262481353
QB_T6_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,48,0.2865465864,0.3333333333,0.0467867469
QB_T6_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.3-0.4,48,0.3188538151,0.2500000000,0.0688538151
QB_T6_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.0-0.1,331,0.0423707383,0.0453172205,0.0029464822
QB_T6_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.1-0.2,48,0.1210269948,0.1041666667,0.0168603282
QB_T6_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.2-0.3,66,0.2819049223,0.3484848485,0.0665799262
QB_T6_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.3-0.4,30,0.3173336945,0.1666666667,0.1506670279
QB_T6_THIS_YEAR,C2_BETA_CALIBRATION,0.0-0.1,331,0.0440799452,0.0453172205,0.0012372753
QB_T6_THIS_YEAR,C2_BETA_CALIBRATION,0.1-0.2,48,0.1234061498,0.1041666667,0.0192394831
QB_T6_THIS_YEAR,C2_BETA_CALIBRATION,0.2-0.3,66,0.2731750987,0.3484848485,0.0753097498
QB_T6_THIS_YEAR,C2_BETA_CALIBRATION,0.3-0.4,30,0.3117402789,0.1666666667,0.1450736122
QB_T6_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.0-0.1,337,0.0400709988,0.0474777448,0.0074067460
QB_T6_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.1-0.2,42,0.1214862305,0.0952380952,0.0262481353
QB_T6_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.2-0.3,42,0.2856883149,0.3809523810,0.0952640661
QB_T6_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.3-0.4,48,0.3142525361,0.2291666667,0.0850858694
QB_T6_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.5-0.6,6,0.5000000000,0.1666666667,0.3333333333
QB_T6_TWO_OF_NEXT_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.0-0.1,122,0.0516828099,0.0245901639,0.0270926460
QB_T6_TWO_OF_NEXT_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,6,0.1995056497,0.1666666667,0.0328389831
QB_T6_TWO_OF_NEXT_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,14,0.2302106459,0.1428571429,0.0873535030
QB_T6_TWO_OF_NEXT_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.3-0.4,23,0.3236058351,0.3913043478,0.0676985128
QB_T6_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.0-0.1,122,0.0516828099,0.0245901639,0.0270926460
QB_T6_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.1-0.2,6,0.1995056497,0.1666666667,0.0328389831
QB_T6_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.2-0.3,14,0.2302106459,0.1428571429,0.0873535030
QB_T6_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.3-0.4,23,0.3236058351,0.3913043478,0.0676985128
QB_T6_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.0-0.1,122,0.0516828099,0.0245901639,0.0270926460
QB_T6_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.1-0.2,6,0.1995056497,0.1666666667,0.0328389831
QB_T6_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.2-0.3,14,0.2302106459,0.1428571429,0.0873535030
QB_T6_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.3-0.4,23,0.3236058351,0.3913043478,0.0676985128
QB_T6_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.0-0.1,122,0.0516828099,0.0245901639,0.0270926460
QB_T6_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.1-0.2,6,0.1995056497,0.1666666667,0.0328389831
QB_T6_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.2-0.3,14,0.2302106459,0.1428571429,0.0873535030
QB_T6_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.3-0.4,23,0.3236058351,0.3913043478,0.0676985128
QB_T6_T_PLUS_2,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.0-0.1,107,0.0667295124,0.0654205607,0.0013089517
