model_id,split,target_seasons,position,sample_size,mae_points,rmse_points,spearman_points,top_n_label,top_n,top_n_hit_rate,result_source
prior_ppg_times_games_sqrt,season_2024,2024,TE,96,19.784017905160358,26.900126711298984,0.7081082195750642,te_t12,12,0.4166666666666667,candidate
prior_ppg_times_games_sqrt,season_2024,2024,WR,171,30.331712035102548,39.47369913869797,0.7265741533398439,wr_t36,36,0.6111111111111112,candidate
prior_ppg_times_games_sqrt,season_2025,2025,QB,63,56.52809877764759,72.71913991911897,0.7000768049155146,qb_t12,12,0.5,candidate
prior_ppg_times_games_sqrt,season_2025,2025,RB,106,40.75276615882642,56.79343439549748,0.7404298626951609,rb_t24,24,0.625,candidate
prior_ppg_times_games_sqrt,season_2025,2025,TE,107,18.15865237791771,24.994281808802405,0.7532999863486155,te_t12,12,0.3333333333333333,candidate
prior_ppg_times_games_sqrt,season_2025,2025,WR,176,28.01772384627195,37.93488088809099,0.7166711975192807,wr_t36,36,0.5555555555555556,candidate
production_no_td,season_2021,2021,QB,61,58.37777240249438,72.73205463402432,0.6905341089370703,qb_t12,12,0.5833333333333334,candidate
production_no_td,season_2021,2021,RB,121,40.95272373467543,53.770290252098754,0.6475631112292568,rb_t24,24,0.5416666666666666,candidate
production_no_td,season_2021,2021,TE,97,20.932401987886134,28.17980181878556,0.7354774712612885,te_t12,12,0.5833333333333334,candidate
production_no_td,season_2021,2021,WR,187,33.730374583214925,44.26379559495966,0.6448178505279345,wr_t36,36,0.5833333333333334,candidate
production_no_td,season_2022,2022,QB,67,48.67981538799472,62.38679900340151,0.7884187527205457,qb_t12,12,0.5,candidate
production_no_td,season_2022,2022,RB,120,43.081344319499266,56.74184556442751,0.685289429879468,rb_t24,24,0.625,candidate
production_no_td,season_2022,2022,TE,99,18.348249670440516,23.435297069810467,0.7552106624256394,te_t12,12,0.5,candidate
production_no_td,season_2022,2022,WR,186,30.43264804458943,37.467325134020726,0.7280005245635175,wr_t36,36,0.6666666666666666,candidate
production_no_td,season_2023,2023,QB,63,66.58873594094837,85.7018505517235,0.5624519969278033,qb_t12,12,0.5,candidate
production_no_td,season_2023,2023,RB,115,43.027638203701116,58.13670130877564,0.632712933185817,rb_t24,24,0.5,candidate
production_no_td,season_2023,2023,TE,96,18.593494918434008,23.889824669663895,0.7777103232619349,te_t12,12,0.5833333333333334,candidate
production_no_td,season_2023,2023,WR,166,27.88829110836328,36.18482168062701,0.7653063866705999,wr_t36,36,0.6666666666666666,candidate
production_no_td,season_2024,2024,QB,63,62.553987488210936,81.74701331692114,0.5773329493087558,qb_t12,12,0.3333333333333333,candidate
production_no_td,season_2024,2024,RB,108,43.653171904957766,61.14672325148542,0.7424935753572197,rb_t24,24,0.625,candidate
production_no_td,season_2024,2024,TE,96,20.53387874934562,27.679201012262116,0.6994393553636973,te_t12,12,0.3333333333333333,candidate
production_no_td,season_2024,2024,WR,171,31.075679843936513,39.35998158405756,0.728028984103568,wr_t36,36,0.6111111111111112,candidate
production_no_td,season_2025,2025,QB,63,57.09264297514095,73.30358527757772,0.7060291858678955,qb_t12,12,0.4166666666666667,candidate
production_no_td,season_2025,2025,RB,106,41.15772760944595,57.642380239998076,0.7346605217912011,rb_t24,24,0.5833333333333334,candidate
production_no_td,season_2025,2025,TE,107,17.54915811246259,23.389690029634387,0.7719345141366132,te_t12,12,0.4166666666666667,candidate
production_no_td,season_2025,2025,WR,176,28.865824244377965,38.60306214174808,0.7055917181321274,wr_t36,36,0.5833333333333334,candidate
receiver_yac_air,season_2021,2021,QB,61,53.89339133733598,69.23450659019956,0.7115282919090429,qb_t12,12,0.6666666666666666,candidate
receiver_yac_air,season_2021,2021,RB,121,40.48712618634747,53.4670529695867,0.6586810324619246,rb_t24,24,0.4583333333333333,candidate
receiver_yac_air,season_2021,2021,TE,97,21.306773313495917,28.558706893654875,0.7286915809522135,te_t12,12,0.4166666666666667,candidate
receiver_yac_air,season_2021,2021,WR,187,32.62215559676044,43.54299199480723,0.6621693930109979,wr_t36,36,0.6111111111111112,candidate
receiver_yac_air,season_2022,2022,QB,67,49.56183202077633,64.44196809473806,0.780405068498177,qb_t12,12,0.5833333333333334,candidate
receiver_yac_air,season_2022,2022,RB,120,43.073906156714884,57.17801287654282,0.6803530161922474,rb_t24,24,0.625,candidate
receiver_yac_air,season_2022,2022,TE,99,18.061448314067174,23.148274108127755,0.7635018832173853,te_t12,12,0.4166666666666667,candidate
